"FL_DATE","ORIGIN","DEST","DEP_TIME","ARR_TIME",
2017-01-01,"BWI","ROC","2351","0044",
2017-01-01,"BWI","ROC","1013","1119",
2017-01-01,"JFK","LAX","0831","1209",
2017-01-01,"LAX","JFK","0934","1809",
2017-01-01,"LAX","JFK","1221","2040",
2017-01-01,"JFK","SFO","0656","1023",
2017-01-01,"LAX","JFK","2100","0457",
2017-01-01,"SFO","JFK","1130","1954",
2017-01-01,"JFK","SFO","0824","1152",
2017-01-01,"SFO","JFK","1259","2107",
2017-01-01,"JFK","LAX","0856","1233",
2017-01-01,"SFO","JFK","1525","2333",
2017-01-01,"JFK","LAX","1922","2318",
2017-01-01,"LAX","JFK","1346","2203",
2017-01-01,"JFK","LAX","2225","0203",
2017-01-01,"LAX","JFK","2202","0652",
2017-01-01,"LAX","JFK","0025","0831",
2017-01-01,"LAX","JFK","1454","2311",
2017-01-01,"JFK","LAX","0656","1122",
2017-01-01,"LAX","JFK","1306","2134",
2017-01-01,"MIA","JFK","1343","1635",
2017-01-01,"JFK","MIA","1532","1853",
2017-01-01,"SFO","JFK","0725","1547",
2017-01-01,"JFK","SFO","1631","2003",
2017-01-01,"LAX","JFK","0808","1621",
2017-01-01,"JFK","LAX","1759","2129",
2017-01-01,"JFK","SEA","2048","0020",
2017-01-01,"BOS","JFK","1726","1846",
2017-01-01,"JFK","SFO","1950","0004",
2017-01-01,"MIA","LGA","1611","1849",
2017-01-01,"SEA","JFK","2153","0618",
2017-01-01,"SAN","JFK","0746","1615",
2017-01-01,"JFK","SAN","1724","2102",
2017-01-01,"CLT","JFK","1335","1526",
2017-01-01,"JFK","CLT","1631","1837",
2017-01-01,"DCA","JFK","1728","1859",
2017-01-01,"PHX","JFK","","",
2017-01-01,"JFK","LAX","1525","1902",
2017-01-01,"LAX","JFK","0658","1516",
2017-01-01,"DFW","LGA","1929","2320",
2017-01-01,"ORD","JFK","1217","1507",
2017-01-01,"JFK","LAX","1658","2035",
2017-01-01,"LGA","DFW","0608","0900",
2017-01-01,"SFO","JFK","0822","1640",
2017-01-01,"JFK","LAX","0558","1001",
2017-01-01,"LAX","JFK","1108","1919",
2017-01-01,"JFK","SFO","1729","2132",
2017-01-01,"JFK","SFO","1056","1422",
2017-01-01,"LAX","JFK","1659","0057",
2017-01-01,"JFK","LAX","2059","0034",
2017-01-01,"ORD","LGA","1157","1441",
2017-01-01,"BOS","JFK","1310","1416",
2017-01-01,"JFK","BOS","1527","1642",
2017-01-01,"LAS","JFK","0034","0812",
2017-01-01,"JFK","LAS","2023","2343",
2017-01-01,"JFK","MIA","1711","2025",
2017-01-01,"MIA","JFK","0937","1215",
2017-01-01,"JFK","LAX","1000","1401",
2017-01-01,"DFW","LGA","1912","2308",
2017-01-01,"SFO","JFK","2056","0506",
2017-01-01,"MCO","JFK","1335","1555",
2017-01-01,"JFK","MCO","1458","1810",
2017-01-01,"ORD","LGA","2009","2300",
2017-01-01,"LGA","ORD","0709","0853",
2017-01-01,"LAX","JFK","0555","1355",
2017-01-01,"JFK","LAX","1957","2346",
2017-01-01,"LGA","ORD","0648","0813",
2017-01-01,"JFK","SAN","0908","1246",
2017-01-01,"LGA","MIA","1054","1355",
2017-01-01,"MIA","LGA","0606","0854",
2017-01-01,"LGA","MIA","0948","1249",
2017-01-01,"JFK","BOS","2125","2228",
2017-01-01,"LGA","DFW","1030","1335",
2017-01-01,"DFW","LGA","1259","1647",
2017-01-01,"JFK","MCO","1753","2039",
2017-01-01,"LGA","DFW","1803","2137",
2017-01-01,"LGA","DFW","1231","1543",
2017-01-01,"LGA","DFW","2000","2243",
2017-01-01,"DFW","LGA","1703","2100",
2017-01-01,"SAN","JFK","2159","0555",
2017-01-01,"EGE","JFK","0834","1436",
2017-01-01,"DFW","LGA","1708","2109",
2017-01-01,"JFK","MIA","1456","1757",
2017-01-01,"DFW","LGA","1052","1451",
2017-01-01,"DFW","LGA","1640","2026",
2017-01-01,"LGA","ORD","0813","0938",
2017-01-01,"JFK","PHX","1622","1958",
2017-01-01,"DFW","LGA","1219","1604",
2017-01-01,"JFK","DFW","1451","1746",
2017-01-01,"JFK","LAS","0734","1016",
2017-01-01,"LGA","DFW","0655","1005",
2017-01-01,"DFW","JFK","1203","1556",
2017-01-01,"CLT","ROC","2222","2354",
2017-01-01,"CLT","BUF","2006","2152",
2017-01-01,"CLT","ROC","1621","1804",
2017-01-01,"BUF","CLT","1900","2046",
2017-01-01,"CLT","JFK","2240","0017",
2017-01-01,"LGA","CLT","1247","1450",
2017-01-01,"CLT","LGA","0956","1133",
2017-01-01,"CLT","BUF","1644","1822",
2017-01-01,"CLT","ALB","2219","2358",
2017-01-01,"CLT","BUF","0953","1130",
2017-01-01,"CLT","BUF","2221","2343",
2017-01-01,"CLT","LGA","2055","2237",
2017-01-01,"CLT","JFK","1607","1742",
2017-01-01,"CLT","LGA","2219","0009",
2017-01-01,"CLT","ALB","1142","1339",
2017-01-01,"ALB","CLT","1711","1917",
2017-01-01,"SYR","CLT","1906","2120",
2017-01-01,"SEA","JFK","2102","0506",
2017-01-01,"FLL","LGA","0556","0825",
2017-01-01,"JFK","MCO","0833","1126",
2017-01-01,"MCO","JFK","1703","1918",
2017-01-01,"JFK","ROC","1647","1759",
2017-01-01,"JFK","MCO","1926","2219",
2017-01-01,"LGA","MCO","1644","1945",
2017-01-01,"JFK","FLL","1315","1621",
2017-01-01,"PWM","JFK","1450","1607",
2017-01-01,"JFK","PWM","1303","1408",
2017-01-01,"SYR","JFK","1058","1152",
2017-01-01,"JFK","SYR","1700","1805",
2017-01-01,"BOS","JFK","2012","2120",
2017-01-01,"JFK","LAX","1019","1328",
